"FLWS","M - Nasdaq","1-800-Flowers.Com Inc","53403090 - Retailers - Miscellaneous Specialty","53  - Consumer Cyclicals",1431.300,21.840,0.340,0.080,1.520,0.090,-9999999999.990,-1.200,0.140,0.490,0.140,1.330,1.900,2.220,-0.050,0.480,0.070,0.320,-43.830,7.540,-9999999999.990,0.320,1.220,15.900,6.000,6.000,5.800,2.680,21.500,23.100,15.700,3.570,0.780,-9999999999.990,0.000,5.900,6.600,0.420,1.620,1.350,0.900,2.600
"TXG","M - Nasdaq","10X Genomics Inc","56101020 - Medical Equipment, Supplies & Distribution","56  - Healthcare",15207.900,143.450,0.050,-0.030,0.030,-9999999999.990,-9999999999.990,-9.400,-9999999999.990,-9999999999.990,-9999999999.990,4.920,0.500,1.240,0.040,-9999999999.990,-0.030,-0.530,-34.390,7.220,-461.100,0.000,0.240,-9999999999.990,4.000,4.500,2.600,50.540,35.600,-59.200,0.000,-9999999999.990,-9999999999.990,-9999999999.990,0.000,-0.700,-97.100,-9999999999.990,3.320,1.750,0.870,129.900
"YI","M - Nasdaq","111 Inc - ADR","57201010 - IT Services & Consulting","57  - Technology",261.300,3.320,-9999999999.990,-0.390,6.670,-9999999999.990,-9999999999.990,-0.700,-0.210,-14.120,-0.210,-9999999999.990,3.700,-38.720,0.150,0.080,-0.170,-0.610,-65.060,-0.150,-100.800,0.000,-39.720,-9999999999.990,4.000,3.000,2.400,0.500,24.300,-418.600,0.000,-9999999999.990,-9999999999.990,-9999999999.990,0.000,2.900,-5.900,-9999999999.990,1.370,1.680,1.170,-9999999999.990
"RETC","O - Over the counter","12 Retech Corp","57201020 - Software","57  - Technology",2.400,0.000,-9999999999.990,-9999999999.990,-9999999999.990,-9999999999.990,-9999999999.990,-9999999999.990,-4.890,0.230,-5.070,0.000,1.000,-0.030,1.480,0.130,-1.850,1.310,-80.940,0.000,-10.200,-0.030,-0.860,-9999999999.990,2.000,3.000,2.200,-164.350,32.300,104.700,0.000,-9999999999.990,-1.020,-9999999999.990,0.000,-8.900,-343.300,-9999999999.990,0.440,0.380,0.380,-9999999999.990
"YQ","M - Nasdaq","17 Education & Technology Grou","63101010 - Miscellaneous Educational Service Providers","63  - Academic & Educational Services",62.600,1.420,11.110,-38.760,16.670,1.670,-9999999999.990,-9999999999.990,-9999999999.990,-9999999999.990,-9999999999.990,-9999999999.990,0.800,2.270,-9999999999.990,-9999999999.990,1.800,-1.350,-91.410,16.100,-9999999999.990,0.000,1.270,-9999999999.990,0.000,4.000,1.800,-4.000,22.600,378.600,0.000,-9999999999.990,-9999999999.990,-9999999999.990,0.000,-1.800,-97.100,-9999999999.990,-9999999999.990,2.430,-9999999999.990,40.500
"TURN","M - Nasdaq","180 Degree Capital Corp","55102020 - Investment Management & Fund Operators","55  - Financials",74.200,7.150,1.490,0.360,0.040,-9999999999.990,-9999999999.990,0.000,0.080,0.110,0.090,-9999999999.990,0.000,1.030,0.000,-9999999999.990,0.350,-9999999999.990,-19.410,10.680,-9999999999.990,0.000,0.030,33.000,4.000,3.500,3.800,14.380,14.500,27.800,-3.260,-4.900,-0.350,-9999999999.990,0.000,38.900,-85.600,-9999999999.990,1.000,3.620,-9999999999.990,-9999999999.990
"ATNF","M - Nasdaq","180 Life Sciences Corp","56202010 - Biotechnology & Medical Research","56  - Healthcare",134.700,4.370,0.260,-0.220,-9999999999.990,-9999999999.990,0.090,-524.700,0.180,1.550,0.200,-9999999999.990,-9999999999.990,1.750,0.260,-0.130,-9999999999.990,-9999999999.990,-60.570,1.130,-89.400,0.000,0.750,-9999999999.990,3.000,0.500,1.600,-9999999999.990,47.200,-105.000,0.000,-9999999999.990,-9999999999.990,-9999999999.990,0.000,-127.300,-9999999999.990,-9999999999.990,-9999999999.990,-9999999999.990,-9999999999.990,-9999999999.990
"GOED","A - American","1847 Goedeker Inc","53402010 - Retailers - Department Stores","53  - Consumer Cyclicals",254.300,2.310,2.330,-1.350,1.280,-9999999999.990,1.000,-630.800,-9999999999.990,-9999999999.990,-9999999999.990,0.860,1.000,1.800,2.290,-9999999999.990,-0.140,-0.680,-46.530,5.430,-12.500,0.260,0.800,-9999999999.990,3.000,2.500,1.200,0.630,38.400,-39.100,0.000,-9999999999.990,-9999999999.990,-9999999999.990,0.000,3.900,-18.900,-9999999999.990,2.000,1.280,-9999999999.990,-9999999999.990
"EFSH","O - Over the counter","1847 Holdings LLC","52203040 - Business Support Services","52  - Industrials",12.100,2.490,0.330,-1.110,2.080,-9999999999.990,0.040,-21.600,0.380,2.000,0.370,0.400,1.100,5.630,0.240,-0.250,0.070,-13.000,21.170,0.820,3.200,1.150,3.480,-9999999999.990,2.000,2.500,2.800,-0.430,20.700,-302.200,81.000,-37.350,-0.930,-9999999999.990,0.000,5.500,4.700,-9999999999.990,-0.460,2.360,1.160,-9999999999.990
"BCOW","M - Nasdaq","1895 Bancorp of Wisconsin Inc","55101010 - Banks","55  - Financials",69.100,11.050,1.390,0.010,0.220,-9999999999.990,0.400,-34.100,-0.080,-4.090,-0.080,0.430,0.000,5.870,0.070,-9999999999.990,-0.050,0.170,-32.150,15.340,1.600,0.000,4.870,-9999999999.990,4.000,4.500,3.600,0.200,14.700,1.100,2.160,0.540,0.060,-9999999999.990,0.000,89.100,87.400,-9999999999.990,1.020,0.940,-9999999999.990,-9999999999.990
"ONEM","M - Nasdaq","1life Healthcare Inc","56102010 - Healthcare Facilities & Services","56  - Healthcare",3037.000,17.410,0.670,-0.070,0.190,-9999999999.990,0.130,-19.600,-9999999999.990,-9999999999.990,-9999999999.990,1.740,0.300,1.520,0.020,-9999999999.990,-0.050,-0.150,-54.680,11.630,-9.400,0.170,0.520,-9999999999.990,2.000,4.500,2.800,2.220,20.700,-20.300,0.000,-9999999999.990,-9999999999.990,-9999999999.990,0.000,2.500,-29.300,-9999999999.990,1.720,1.540,1.000,-9999999999.990
"FCCY","M - Nasdaq","1st Constitution Bancorp","55101010 - Banks","55  - Financials",260.200,24.520,0.790,0.090,0.270,0.140,1.000,1.100,0.010,0.080,0.010,0.320,0.000,9.560,0.010,0.000,0.120,1.010,10.360,19.430,5.600,0.090,8.560,13.200,5.000,3.500,3.800,0.170,14.700,11.100,8.590,4.930,1.210,-9999999999.990,0.180,89.100,85.300,0.000,1.150,1.000,-9999999999.990,-9999999999.990
"SRCE","M - Nasdaq","1st Source Corporation","55101010 - Banks","55  - Financials",1210.400,47.800,0.760,0.100,0.220,0.140,0.400,5.100,0.000,0.040,0.010,0.100,0.000,8.740,0.080,0.020,0.120,1.270,-8.380,36.570,8.400,0.150,7.740,5.600,6.000,5.500,5.200,0.230,14.700,13.000,9.860,5.690,2.720,-9999999999.990,0.860,89.100,91.300,-0.080,1.280,0.980,-9999999999.990,-9999999999.990
