RSI_Return,EQC_Return,Coverage_Return,AE_Return,ExFin_Return,DebtChg_Return,ROE_Return,Turnover_Return,Magic_Return
4.15,3.97,2.41,7.29,-0.06,6.64,6.16,8.98,17.9
7.96,8.39,6.39,10.45,6.07,9.78,8.52,7.64,15.6
9.17,9.28,10.81,10.7,9.73,10.49,10.39,10.57,14.8
10.1,10.58,12.61,11.56,11.24,11.08,10.92,11.49,14.2
10.58,11.69,13.3,11.22,12.33,11.34,11.55,11.15,14.1
11.01,11.19,12.75,11.27,13.68,12.11,11.24,11.61,12.7
11.69,11.56,12.96,10.59,13.02,12.95,11.53,11.61,11.3
12.24,13.06,12.53,11.3,14.27,13.12,11.54,11.73,10.1
12.88,14.42,12.38,10.86,13.88,13.51,12.15,12.21,5.2
14.11,15.93,11.83,11.16,14.07,10.85,12.29,13,2.5
